No. (id),対象年度 (year),学期(気付) (term),講義番号 (number),授業科目名 (name),担当教員(気付) (instructor),TA割当可能総時間(分) (time_budget),備考 (description)
1,2023,"1,2",095021,工学基礎実験実習,林,15750,
2,2023,1,50E010,ソフトウェア開発法(基礎),後藤,4900,
3,2023,2,50E011,ソフトウェア開発法(応用),後藤,4900,
4,2023,1,098404,プログラミング演習1,後藤,3780,
5,2023,2,098405,プログラミング演習2,後藤,3780,
6,2023,3,098410,システムプログラミング1,乃村,4200,
7,2023,4,098411,システムプログラミング2,乃村,4200,
8,2023,1,098417,情報工学実験A(ハードウェア),相田,13140,
9,2023,3,098421,情報工学実験B(メディア処理),原,3460,
10,2023,3,098421,情報工学実験B(メディア処理),右田,4000,
11,2023,4,098423,情報工学実験C(ソフトウェア),笹倉,8100,
12,2023,4,098423,情報工学実験C(ソフトウェア),山内,5670,
13,2023,1,098401,データ構造とアルゴリズム,山内,1300,
14,2023,1,098413,プログラミング技法,乃村,1400,
16,2023,3,098408,オペレーティングシステム,山内,1500,
17,2023,3,098419,情報ネットワーク論,乃村,1400,
18,2023,4,098422,並列分散処理,山内,1500,
19,2023,4,098615,ディジタル信号処理,林,1200,
20,2023,4,095026,工学安全教育,Zeynep,480,
21,2023,4,098412,応用数学,高橋,1680,
22,2023,1,098415,人工知能,諸岡,1400,
24,2023,2,098609,情報セキュリティ,山内,1400,
25,2023,1,098301,統計データ解析基礎,高橋,1400,
